iter	Passed	Remaining
0	238	84403
1	342	60399
2	454	53269
3	579	50839
4	694	48590
5	827	48125
6	944	46970
7	1069	46389
8	1189	45729
9	1307	45105
10	1440	45042
11	1565	44752
12	1688	44417
13	1811	44133
14	1926	43676
15	2050	43454
16	2177	43287
17	2300	43075
18	2428	42949
19	2559	42867
20	2692	42823
21	2830	42846
22	2963	42774
23	3080	42485
24	3262	43058
25	3420	43276
26	3559	43238
27	3687	43070
28	3848	43264
29	3990	43227
30	4149	43372
31	4289	43299
32	4431	43243
33	4596	43398
34	4847	44318
35	5067	44902
36	5442	46777
37	5654	47173
38	5837	47299
39	5999	47244
40	6165	47215
41	6338	47237
42	6500	47168
43	6658	47060
44	6846	47165
45	7009	47085
46	7171	46997
47	7350	47010
48	7716	48189
49	7880	48069
50	8038	47914
51	8203	47798
52	8383	47771
53	8538	47592
54	8700	47459
55	8861	47313
56	9024	47181
57	9183	47026
58	9364	46980
59	9517	46796
60	9675	46633
61	9838	46495
62	9979	46252
63	10133	46075
64	10289	45905
65	10435	45694
66	10573	45451
67	10706	45187
68	10841	44939
69	10977	44693
70	11119	44477
71	11267	44287
72	11413	44088
73	11565	43918
74	11719	43751
75	11864	43556
76	12010	43361
77	12156	43170
78	12295	42957
79	12434	42742
80	12584	42568
81	12717	42338
82	12857	42134
83	13007	41965
84	13160	41803
85	13310	41634
86	13449	41429
87	13586	41223
88	13728	41032
89	13867	40833
90	14006	40634
91	14139	40419
92	14278	40225
93	14419	40036
94	14561	39851
95	14734	39752
96	14777	39303
97	14916	39118
98	15078	38990
99	15222	38817
100	15368	38649
101	15545	38557
102	15676	38353
103	15888	38346
104	16099	38332
105	16241	38151
106	16386	37980
107	16530	37806
108	16664	37610
109	16807	37434
110	16944	37247
111	17070	37037
112	17216	36871
113	17360	36701
114	17505	36533
115	17651	36367
116	17784	36177
117	17937	36026
118	18087	35871
119	18238	35716
120	18375	35535
121	18506	35345
122	18636	35150
123	18769	34965
124	18908	34792
125	19041	34607
126	19167	34411
127	19308	34242
128	19464	34101
129	19607	33936
130	19742	33759
131	19867	33564
132	19994	33373
133	20121	33186
134	20251	33002
135	20386	32827
136	20510	32637
137	20636	32449
138	20766	32270
139	20895	32089
140	21024	31908
141	21151	31727
142	21290	31563
143	21421	31388
144	21550	31210
145	21679	31034
146	21814	30866
147	21938	30684
148	22071	30514
149	22190	30327
150	22320	30155
151	22459	29995
152	22595	29832
153	22728	29665
154	22876	29517
155	23021	29366
156	23159	29207
157	23296	29047
158	23434	28887
159	23595	28757
160	23734	28598
161	23871	28440
162	24007	28278
163	24155	28132
164	24302	27985
165	24458	27847
166	24592	27685
167	24721	27517
168	24999	27514
169	25138	27357
170	25283	27206
171	25421	27047
172	25559	26888
173	25716	26751
174	25859	26598
175	25993	26436
176	26119	26267
177	26260	26112
178	26418	25975
179	26583	25845
180	26747	25713
181	26911	25581
182	27202	25567
183	27349	25417
184	27501	25271
185	27640	25114
186	27790	24967
187	27942	24821
188	28087	24669
189	28235	24519
190	28369	24359
191	28509	24203
192	28655	24052
193	28806	23906
194	28943	23748
195	29076	23587
196	29223	23437
197	29374	23292
198	29531	23150
199	29678	23000
200	29834	22858
201	29987	22713
202	30150	22575
203	30306	22432
204	30454	22284
205	30617	22145
206	30759	21992
207	30925	21856
208	31093	21720
209	31252	21578
210	31435	21453
211	31598	21313
212	31762	21174
213	31933	21040
214	32092	20897
215	32245	20750
216	32398	20603
217	32558	20460
218	32714	20315
219	32864	20166
220	33007	20013
221	33163	19868
222	33477	19816
223	33648	19678
224	33801	19529
225	33946	19376
226	34078	19216
227	34221	19062
228	34373	18912
229	34527	18765
230	34659	18605
231	34808	18454
232	34954	18302
233	35121	18161
234	35283	18016
235	35421	17861
236	35568	17709
237	35724	17561
238	35903	17425
239	36068	17282
240	36219	17132
241	36361	16978
242	36515	16830
243	36670	16682
244	36818	16530
245	36962	16377
246	37088	16217
247	37225	16061
248	37360	15904
249	37501	15750
250	37641	15596
251	37778	15441
252	37929	15291
253	38082	15142
254	38240	14996
255	38385	14844
256	38518	14688
257	38672	14539
258	38837	14395
259	38983	14244
260	39133	14094
261	39303	13951
262	39534	13829
263	39704	13686
264	39860	13537
265	40018	13389
266	40175	13241
267	40335	13094
268	40477	12940
269	40615	12786
270	40756	12633
271	40908	12482
272	41061	12333
273	41212	12183
274	41358	12031
275	41497	11878
276	41702	11742
277	41878	11599
278	42048	11454
279	42206	11305
280	42376	11159
281	42543	11012
282	42707	10865
283	42849	10712
284	42992	10559
285	43158	10412
286	43355	10272
287	43532	10127
288	43707	9981
289	43856	9830
290	44008	9678
291	44148	9525
292	44297	9373
293	44432	9218
294	44576	9066
295	44713	8912
296	44853	8759
297	44988	8605
298	45126	8451
299	45273	8300
300	45417	8148
301	45556	7995
302	45690	7841
303	45819	7686
304	45961	7534
305	46114	7384
306	46261	7233
307	46393	7079
308	46521	6925
309	46662	6773
310	46801	6621
311	46938	6469
312	47063	6315
313	47194	6162
314	47338	6011
315	47489	5861
316	47626	5709
317	47760	5557
318	47890	5404
319	48048	5255
320	48201	5105
321	48333	4953
322	48470	4802
323	48618	4651
324	48758	4500
325	48893	4349
326	49018	4197
327	49150	4045
328	49302	3896
329	49447	3746
330	49600	3596
331	49774	3448
332	49930	3298
333	50090	3149
334	50242	2999
335	50384	2849
336	50532	2699
337	50685	2549
338	50829	2399
339	50970	2248
340	51119	2098
341	51273	1948
342	51458	1800
343	51618	1650
344	51782	1500
345	51938	1351
346	52074	1200
347	52224	1050
348	52374	900
349	52524	750
350	52665	600
351	52800	450
352	52933	299
353	53070	149
354	53203	0
