Driver_name;Photo url
Lewis Hamilton;C:/Users/33782/Desktop/Mémoire F1/Picture/ham.jpg
George Russel;C:/Users/33782/Desktop/Mémoire F1/Picture/russel.jpg
Max Verstappen;C:/Users/33782/Desktop/Mémoire F1/Picture/verstappen.jpg
Sergio Pérez;C:/Users/33782/Desktop/Mémoire F1/Picture/perez.jpg
Charles Leclerc;C:/Users/33782/Desktop/Mémoire F1/Picture/leclerc.jpg
Carlos Sainz;C:/Users/33782/Desktop/Mémoire F1/Picture/sainz.jpg
Lando Norris;C:/Users/33782/Desktop/Mémoire F1/Picture/norris.jpg
Oscar Piastri;C:/Users/33782/Desktop/Mémoire F1/Picture/piastri.jpg
Daniel Ricciardo;C:/Users/33782/Desktop/Mémoire F1/Picture/ricardo.jpg
Yuki Tsunoda;C:/Users/33782/Desktop/Mémoire F1/Picture/tsunoda.jpg
Esteban Ocon;C:/Users/33782/Desktop/Mémoire F1/Picture/ocon.jpg
Pierre Gasly;C:/Users/33782/Desktop/Mémoire F1/Picture/gasly.jpg
Fernando Alonso;C:/Users/33782/Desktop/Mémoire F1/Picture/alonso.jpg
Lance Stroll;C:/Users/33782/Desktop/Mémoire F1/Picture/stroll.jpg
Nico Hulkenberg;C:/Users/33782/Desktop/Mémoire F1/Picture/hulk.jpg
Kevin Magnussen;C:/Users/33782/Desktop/Mémoire F1/Picture/images.jpg
Alexander Albon;C:/Users/33782/Desktop/Mémoire F1/Picture/albon.jpg
Logan Sargeant;C:/Users/33782/Desktop/Mémoire F1/Picture/sargeant.jpg
Valtteri Bottas;C:/Users/33782/Desktop/Mémoire F1/Picture/bottas.jpg
Guanyu Zhou;C:/Users/33782/Desktop/Mémoire F1/Picture/zhou.jpg
